segment,replicate.no,obs.sp,total_attempts,success_attempts,duration,worms1,crabs1,fishfry1,mollusks1,success_prop,worms,crabs,mollusks,fishfry,food.div,food.rich,food.abund,high.count,total.count,prop.foraging,prop.preening,prop.locomotion,prop.resting,prop.alert,high.div,rich,high.abund,total.div,total.abund,temp,pref,island
9,1,Common Redshank,54,14,3,0,0,0,0,0.259259259,100,0,0,0,0,1,100,3,0.5,1,0,0,0,0,1.029778219,5,38,0.778190209,22,18,prefers worms,Nijhum Dweep
9,1,Eurasian Curlew,32,8,3,0,0,0,0,0.25,100,0,0,0,0,1,100,4,2,0.75,0.083333333,0.083333333,0.083333333,0,1.029778219,5,38,0.778190209,22,18,prefers other foods,Nijhum Dweep
9,1,Eurasian Curlew,22,9,3,0,0,0,0,0.409090909,100,0,0,0,0,1,100,4,2,0.75,0.083333333,0.083333333,0.083333333,0,1.029778219,5,38,0.778190209,22,18,prefers other foods,Nijhum Dweep
9,1,Common Redshank,59,16,3,0,0,0,0,0.271186441,100,0,0,0,0,1,100,3,0.5,1,0,0,0,0,1.029778219,5,38,0.778190209,22,18,prefers worms,Nijhum Dweep
9,1,Common Greenshank,35,7,3,0,0,0,0,0.2,100,0,0,0,0,1,100,4,2.333333333,0.928571429,0.071428571,0,0,0,1.029778219,5,38,0.778190209,22,18,prefers worms,Nijhum Dweep
9,1,Common Redshank,63,19,3,0,0,0,0,0.301587302,100,0,0,0,0,1,100,3,0.5,1,0,0,0,0,1.029778219,5,38,0.778190209,22,18,prefers worms,Nijhum Dweep
5,1,Eurasian Curlew,25,5,3,0,0,0,0,0.2,517,0,0,0,0,1,517,14,9.666666667,0.827586207,0.034482759,0,0.137931034,0,1.32799039,6,24,1.035703906,14.16666667,17.83333333,prefers other foods,Nijhum Dweep
5,1,Common Redshank,67,7,3,0,0,0,0,0.104477612,517,0,0,0,0,1,517,3,1.833333333,1,0,0,0,0,1.32799039,6,24,1.035703906,14.16666667,17.83333333,prefers worms,Nijhum Dweep
5,1,Eurasian Curlew,17,2,3,0,0,0,0,0.117647059,517,0,0,0,0,1,517,14,9.666666667,0.827586207,0.034482759,0,0.137931034,0,1.32799039,6,24,1.035703906,14.16666667,17.83333333,prefers other foods,Nijhum Dweep
5,1,Common Greenshank,42,7,3,0,0,0,0,0.166666667,517,0,0,0,0,1,517,2,1.666666667,1,0,0,0,0,1.32799039,6,24,1.035703906,14.16666667,17.83333333,prefers worms,Nijhum Dweep
5,1,Kentish Plover,28,3,3,0,0,0,0,0.107142857,517,0,0,0,0,1,517,2,0.333333333,1,0,0,0,0,1.32799039,6,24,1.035703906,14.16666667,17.83333333,prefers other foods,Nijhum Dweep
5,1,Eurasian Curlew,21,6,3,0,3,0,0,0.285714286,517,0,0,0,0,1,517,14,9.666666667,0.827586207,0.034482759,0,0.137931034,0,1.32799039,6,24,1.035703906,14.16666667,17.83333333,prefers other foods,Nijhum Dweep
5,1,Eurasian Curlew,19,2,3,0,0,0,0,0.105263158,517,0,0,0,0,1,517,14,9.666666667,0.827586207,0.034482759,0,0.137931034,0,1.32799039,6,24,1.035703906,14.16666667,17.83333333,prefers other foods,Nijhum Dweep
5,1,Common Greenshank,36,7,3,0,0,0,0,0.194444444,517,0,0,0,0,1,517,2,1.666666667,1,0,0,0,0,1.32799039,6,24,1.035703906,14.16666667,17.83333333,prefers worms,Nijhum Dweep
5,1,Eurasian Curlew,23,5,3,0,0,0,0,0.217391304,517,0,0,0,0,1,517,14,9.666666667,0.827586207,0.034482759,0,0.137931034,0,1.32799039,6,24,1.035703906,14.16666667,17.83333333,prefers other foods,Nijhum Dweep
5,1,Eurasian Curlew,22,7,3,0,0,0,0,0.318181818,517,0,0,0,0,1,517,14,9.666666667,0.827586207,0.034482759,0,0.137931034,0,1.32799039,6,24,1.035703906,14.16666667,17.83333333,prefers other foods,Nijhum Dweep
5,1,Common Redshank,61,8,3,0,0,0,0,0.131147541,517,0,0,0,0,1,517,3,1.833333333,1,0,0,0,0,1.32799039,6,24,1.035703906,14.16666667,17.83333333,prefers worms,Nijhum Dweep
5,1,Common Greenshank,18,4,2,0,0,0,0,0.222222222,517,0,0,0,0,1,517,2,1.666666667,1,0,0,0,0,1.32799039,6,24,1.035703906,14.16666667,17.83333333,prefers worms,Nijhum Dweep
5,1,Common Greenshank,27,7,3,0,0,0,0,0.259259259,517,0,0,0,0,1,517,2,1.666666667,1,0,0,0,0,1.32799039,6,24,1.035703906,14.16666667,17.83333333,prefers worms,Nijhum Dweep
