"segment","replicate.no","worms","crabs","mollusks","fishfry","food.div","food.rich","food.abund","obs.sp","high.count","total.count","prop.foraging","prop.preening","prop.locomotion","prop.resting","prop.alert","high.div","rich","high.abund","total.div","total.abund","temp","pref","island"
2,2,29,2,6,0,0.643663041128117,3,37,"Black-tailed Godwit",18,21,1,0,0,0,0,1.85536584685188,11,96,1.74827012177934,212,24.1666666666667,"prefers worms","Nijhum Dweep"
2,2,29,2,6,0,0.643663041128117,3,37,"Broad-billed Sandpiper",0,0,0,0,0,0,0,1.85536584685188,11,96,1.74827012177934,212,24.1666666666667,"prefers worms","Nijhum Dweep"
2,2,29,2,6,0,0.643663041128117,3,37,"Common Greenshank",1,4,0.75,0,0,0.25,0,1.85536584685188,11,96,1.74827012177934,212,24.1666666666667,"prefers worms","Nijhum Dweep"
2,2,29,2,6,0,0.643663041128117,3,37,"Common Redshank",32,92,1,0,0,0,0,1.85536584685188,11,96,1.74827012177934,212,24.1666666666667,"prefers worms","Nijhum Dweep"
2,2,29,2,6,0,0.643663041128117,3,37,"Common Sandpiper",1,1,0,1,0,0,0,1.85536584685188,11,96,1.74827012177934,212,24.1666666666667,"prefers worms","Nijhum Dweep"
2,2,29,2,6,0,0.643663041128117,3,37,"Curlew Sandpiper",0,0,0,0,0,0,0,1.85536584685188,11,96,1.74827012177934,212,24.1666666666667,"prefers worms","Nijhum Dweep"
2,2,29,2,6,0,0.643663041128117,3,37,"Dunlin",0,0,0,0,0,0,0,1.85536584685188,11,96,1.74827012177934,212,24.1666666666667,"prefers worms","Nijhum Dweep"
2,2,29,2,6,0,0.643663041128117,3,37,"Eurasian Curlew",6,19,1,0,0,0,0,1.85536584685188,11,96,1.74827012177934,212,24.1666666666667,"prefers other foods","Nijhum Dweep"
2,2,29,2,6,0,0.643663041128117,3,37,"Great Knot",0,0,0,0,0,0,0,1.85536584685188,11,96,1.74827012177934,212,24.1666666666667,"prefers other foods","Nijhum Dweep"
2,2,29,2,6,0,0.643663041128117,3,37,"Great Thick-knee",0,0,0,0,0,0,0,1.85536584685188,11,96,1.74827012177934,212,24.1666666666667,"prefers other foods","Nijhum Dweep"
2,2,29,2,6,0,0.643663041128117,3,37,"Grey-headed Lapwing",0,0,0,0,0,0,0,1.85536584685188,11,96,1.74827012177934,212,24.1666666666667,"prefers other foods","Nijhum Dweep"
2,2,29,2,6,0,0.643663041128117,3,37,"Grey Plover",3,9,0.555555555555556,0,0.111111111111111,0.333333333333333,0,1.85536584685188,11,96,1.74827012177934,212,24.1666666666667,"prefers worms","Nijhum Dweep"
2,2,29,2,6,0,0.643663041128117,3,37,"Kentish Plover",2,2,1,0,0,0,0,1.85536584685188,11,96,1.74827012177934,212,24.1666666666667,"prefers other foods","Nijhum Dweep"
2,2,29,2,6,0,0.643663041128117,3,37,"Lesser Sand Plover",18,31,0.870967741935484,0,0,0.129032258064516,0,1.85536584685188,11,96,1.74827012177934,212,24.1666666666667,"prefers worms","Nijhum Dweep"
2,2,29,2,6,0,0.643663041128117,3,37,"Little Ringed Plover",0,0,0,0,0,0,0,1.85536584685188,11,96,1.74827012177934,212,24.1666666666667,"prefers worms","Nijhum Dweep"
2,2,29,2,6,0,0.643663041128117,3,37,"Little Stint",3,4,1,0,0,0,0,1.85536584685188,11,96,1.74827012177934,212,24.1666666666667,"prefers worms","Nijhum Dweep"
2,2,29,2,6,0,0.643663041128117,3,37,"Nordmann's Greenshank/",0,0,0,0,0,0,0,1.85536584685188,11,96,1.74827012177934,212,24.1666666666667,"prefers worms","Nijhum Dweep"
2,2,29,2,6,0,0.643663041128117,3,37,"Pacific Golden-Plover",0,0,0,0,0,0,0,1.85536584685188,11,96,1.74827012177934,212,24.1666666666667,"prefers worms","Nijhum Dweep"
2,2,29,2,6,0,0.643663041128117,3,37,"Pied Avocet",0,0,0,0,0,0,0,1.85536584685188,11,96,1.74827012177934,212,24.1666666666667,"prefers worms","Nijhum Dweep"
2,2,29,2,6,0,0.643663041128117,3,37,"Red Knot",0,0,0,0,0,0,0,1.85536584685188,11,96,1.74827012177934,212,24.1666666666667,"prefers other foods","Nijhum Dweep"
2,2,29,2,6,0,0.643663041128117,3,37,"Ruddy Turnstone",0,0,0,0,0,0,0,1.85536584685188,11,96,1.74827012177934,212,24.1666666666667,"prefers other foods","Nijhum Dweep"
2,2,29,2,6,0,0.643663041128117,3,37,"Ruff",0,0,0,0,0,0,0,1.85536584685188,11,96,1.74827012177934,212,24.1666666666667,"prefers worms","Nijhum Dweep"
2,2,29,2,6,0,0.643663041128117,3,37,"Sanderling",0,0,0,0,0,0,0,1.85536584685188,11,96,1.74827012177934,212,24.1666666666667,"prefers worms","Nijhum Dweep"
2,2,29,2,6,0,0.643663041128117,3,37,"Small Pratincole",0,0,0,0,0,0,0,1.85536584685188,11,96,1.74827012177934,212,24.1666666666667,"prefers worms","Nijhum Dweep"
2,2,29,2,6,0,0.643663041128117,3,37,"Spoon-billed Sandpiper",0,0,0,0,0,0,0,1.85536584685188,11,96,1.74827012177934,212,24.1666666666667,"prefers other foods","Nijhum Dweep"
2,2,29,2,6,0,0.643663041128117,3,37,"Temminck's Stint",0,0,0,0,0,0,0,1.85536584685188,11,96,1.74827012177934,212,24.1666666666667,"prefers worms","Nijhum Dweep"
2,2,29,2,6,0,0.643663041128117,3,37,"Terek Sandpiper",0,0,0,0,0,0,0,1.85536584685188,11,96,1.74827012177934,212,24.1666666666667,"prefers worms","Nijhum Dweep"
2,2,29,2,6,0,0.643663041128117,3,37,"Whimbrel",1,2,1,0,0,0,0,1.85536584685188,11,96,1.74827012177934,212,24.1666666666667,"prefers other foods","Nijhum Dweep"
4,1,27,0,0,0,0,1,27,"Asian Dowitcher",0,0,0,0,0,0,0,0,1,3,0,5,25.5,"prefers worms","Nijhum Dweep"
4,1,27,0,0,0,0,1,27,"Bar-tailed Godwit",0,0,0,0,0,0,0,0,1,3,0,5,25.5,"prefers worms","Nijhum Dweep"
4,1,27,0,0,0,0,1,27,"Black-headed Ibis",0,0,0,0,0,0,0,0,1,3,0,5,25.5,"prefers other foods","Nijhum Dweep"
4,1,27,0,0,0,0,1,27,"Black-tailed Godwit",0,0,0,0,0,0,0,0,1,3,0,5,25.5,"prefers worms","Nijhum Dweep"
4,1,27,0,0,0,0,1,27,"Broad-billed Sandpiper",0,0,0,0,0,0,0,0,1,3,0,5,25.5,"prefers worms","Nijhum Dweep"
4,1,27,0,0,0,0,1,27,"Common Greenshank",0,0,0,0,0,0,0,0,1,3,0,5,25.5,"prefers worms","Nijhum Dweep"
4,1,27,0,0,0,0,1,27,"Common Redshank",0,0,0,0,0,0,0,0,1,3,0,5,25.5,"prefers worms","Nijhum Dweep"
4,1,27,0,0,0,0,1,27,"Common Sandpiper",0,0,0,0,0,0,0,0,1,3,0,5,25.5,"prefers worms","Nijhum Dweep"
4,1,27,0,0,0,0,1,27,"Curlew Sandpiper",0,0,0,0,0,0,0,0,1,3,0,5,25.5,"prefers worms","Nijhum Dweep"
4,1,27,0,0,0,0,1,27,"Dunlin",0,0,0,0,0,0,0,0,1,3,0,5,25.5,"prefers worms","Nijhum Dweep"
4,1,27,0,0,0,0,1,27,"Eurasian Curlew",3,5,1,0,0,0,0,0,1,3,0,5,25.5,"prefers other foods","Nijhum Dweep"
4,1,27,0,0,0,0,1,27,"Great Knot",0,0,0,0,0,0,0,0,1,3,0,5,25.5,"prefers other foods","Nijhum Dweep"
4,1,27,0,0,0,0,1,27,"Great Thick-knee",0,0,0,0,0,0,0,0,1,3,0,5,25.5,"prefers other foods","Nijhum Dweep"
4,1,27,0,0,0,0,1,27,"Grey-headed Lapwing",0,0,0,0,0,0,0,0,1,3,0,5,25.5,"prefers other foods","Nijhum Dweep"
4,1,27,0,0,0,0,1,27,"Grey Plover",0,0,0,0,0,0,0,0,1,3,0,5,25.5,"prefers worms","Nijhum Dweep"
4,1,27,0,0,0,0,1,27,"Kentish Plover",0,0,0,0,0,0,0,0,1,3,0,5,25.5,"prefers other foods","Nijhum Dweep"
4,1,27,0,0,0,0,1,27,"Lesser Sand Plover",0,0,0,0,0,0,0,0,1,3,0,5,25.5,"prefers worms","Nijhum Dweep"
4,1,27,0,0,0,0,1,27,"Little Ringed Plover",0,0,0,0,0,0,0,0,1,3,0,5,25.5,"prefers worms","Nijhum Dweep"
4,1,27,0,0,0,0,1,27,"Little Stint",0,0,0,0,0,0,0,0,1,3,0,5,25.5,"prefers worms","Nijhum Dweep"
4,1,27,0,0,0,0,1,27,"Nordmann's Greenshank/",0,0,0,0,0,0,0,0,1,3,0,5,25.5,"prefers worms","Nijhum Dweep"
